Battery_ID,Chemistry,Cycle,Voltage_V,Current_A,Temperature_C,SOC_percent,Charge_Rate_C,Discharge_Rate_C,Capacity_Ah,Internal_Resistance_Ohm,SOH_percent,RUL_Cycles,Risk,Recommended_Application
BX0001,NMC,25,3.731,2.418,27.05,26.86,1.0,1.0,3.8801,0.07491,97.04,2483,LOW,EV USE
BX0001,NMC,47,3.712,1.303,22.58,50.85,2.0,2.0,3.8795,0.08022,97.13,2477,LOW,EV USE
BX0001,NMC,70,3.757,2.236,29.25,57.68,0.5,0.5,3.8496,0.07896,96.88,2425,LOW,EV USE
BX0001,NMC,92,3.755,1.935,31.65,25.13,1.0,1.0,3.8678,0.07939,96.78,2378,LOW,EV USE
BX0001,NMC,115,3.713,3.273,31.83,47.8,1.0,2.0,3.8683,0.08082,96.69,2440,LOW,EV USE
BX0001,NMC,137,3.785,1.506,25.49,83.79,0.5,2.5,3.8637,0.07758,96.68,2314,LOW,EV USE
BX0001,NMC,160,3.67,1.511,28.73,21.15,2.0,2.5,3.8835,0.083,96.82,2392,LOW,EV USE
BX0001,NMC,183,3.739,2.611,30.6,24.93,1.5,1.5,3.886,0.08087,96.74,2384,LOW,EV USE
BX0001,NMC,205,3.729,1.977,27.11,41.09,0.5,1.5,3.8107,0.08771,95.02,2321,LOW,EV USE
BX0001,NMC,228,3.686,0.727,28.11,39.54,2.0,1.5,3.8794,0.0818,96.74,2277,LOW,EV USE
BX0001,NMC,250,3.704,2.408,27.69,37.59,1.5,0.5,3.8145,0.08762,95.47,2245,LOW,EV USE
BX0001,NMC,273,3.656,1.078,24.78,28.97,1.0,0.5,3.8579,0.07972,96.49,2284,LOW,EV USE
BX0001,NMC,296,3.71,3.493,31.8,27.29,2.0,0.5,3.7914,0.09017,95.03,2214,LOW,EV USE
BX0001,NMC,318,3.746,2.237,31.27,60.89,0.5,2.5,3.847,0.07812,95.86,2171,LOW,EV USE
BX0001,NMC,341,3.832,1.394,27.19,84.33,1.5,1.0,3.8419,0.08301,95.63,2203,LOW,EV USE
BX0001,NMC,363,3.733,1.599,28.43,72.35,1.5,1.0,3.7645,0.0883,94.09,2139,LOW,EV USE
BX0001,NMC,386,3.76,1.15,29.66,58.96,0.5,0.5,3.7827,0.08838,94.94,2154,LOW,EV USE
BX0001,NMC,409,3.729,0.901,29.16,21.98,1.5,0.5,3.7868,0.08937,94.93,2134,LOW,EV USE
